Phrase,TF-IDF Score
trucker path,110.17255509416647
great app,86.03022303546476
truck stop,85.96169580797263
new update,85.4785541175244
truck stops,82.6669205322598
google maps,73.60551415199384
use app,69.82407858652594
doesnt work,59.82841835299765
free trial,57.684559931814924
good app,57.411091496291405
app used,54.184700063063524
used great,53.27641522648123
wont let,40.14147330591234
weigh stations,39.6501619264464
used good,38.70399069752653
latest update,38.59694786777196
truck route,36.510726984369484
app use,35.9291643188128
update app,35.84566239220448
used app,35.55735194368751
app doesnt,34.87035498904942
open app,34.52611534906424
using app,33.83718199178129
truck routes,33.45585694896874
cancel subscription,33.3859494813408
dont need,33.33861298336627
app sucks,32.89586322067741
weigh station,32.764236201231206
customer service,30.248395672599244
app keeps,29.113195588755307
